,0,1,2,3,4
7,141 381,146 702,126 152,147 395,198 039
8,240 208,251 901,213 550,244 249,264 809
9,84 607,90 543,78 675,95 061,106 420
10,73 981,78 673,68 306,81 746,91 443
11,516 398,574 177,539 201,642 174,688 048
12,135 685,140 564,140 333,148 615,153 454
13,259 710,269 251,277 058,288 009,298 691
14,379 407,389 471,357 739,390 696,417 324
15,23 520,23 105,21 689,21 692,21 728
16,376 217,384 562,301 849,344 907,380 903
17,96 137,105 635,83 871,97 698,111 693
18,93 837,94 241,87 555,90 117,92 910
19,167 089,178 209,139 079,164 804,198 500
20,876 880,894 320,860 288,899 462,919 563
21,762 124,776 405,762 833,787 407,804 555
22,203 643,209 392,191 532,196 698,195 811
23,10 631,11 155,10 551,10 400,10 648
24,160 126,167 189,149 174,156 949,165 780
25,665 072,631 575,525 790,545 203,741 290
26,51 748,48 582,44 093,67 725,50 296
27,108 607,107 840,97 335,103 512,109 248
28,47 754,48 859,47 166,48 061,47 928
29,600 337,633 885,550 560,618 245,666 074
30,19 643,19 527,14 846,14 658,15 083
31,81 404,86 225,72 677,82 332,93 349
32,223 621,224 557,185 350,211 834,222 791
33,74 259,73 359,59 970,68 562,70 218
34,615 954,641 058,581 017,634 532,691 238
35,270 207,284 060,250 809,285 033,321 126
36,101 696,110 260,88 620,103 636,119 544
37,224 070,236 752,222 888,246 724,264 325
38,451 870,470 972,410 007,469 424,498 075
39,41 954,40 330,38 155,37 942,36 026
40,−,−,−,−,−
41,14 429,15 318,12 305,15 082,16 947
42,284 425,336 875,321 529,416 540,465 218
43,348 144,346 239,286 656,319 291,336 183
44,55 685,58 858,50 967,59 188,79 380
45,81 190,84 739,73 536,82 461,89 533
46,23 297,25 316,23 134,26 873,30 778
47,18 385,19 955,18 493,20 864,23 925
48,157 424,181 050,176 522,214 859,234 450
49,55 314,57 696,57 909,62 026,64 657
50,84 411,87 269,86 598,90 063,94 378
51,140 026,143 209,132 094,142 834,152 122
52,13 618,13 308,12 476,12 413,12 555
53,127 118,130 097,101 744,115 463,128 265
54,29 414,32 464,26 016,30 218,34 896
55,31 249,31 453,29 345,29 837,30 684
56,63 435,66 493,51 195,60 789,72 321
57,337 868,348 521,335 580,353 373,365 437
58,290 809,300 712,294 719,308 222,319 746
59,85 957,88 950,82 471,84 955,86 251
60,6 384,6 817,6 518,6 559,6 649
61,46 637,48 854,43 833,46 294,49 715
62,275 139,260 714,219 387,232 474,305 836
63,25 179,23 831,22 368,32 918,24 783
64,47 594,47 091,42 651,46 010,48 077
65,16 061,16 388,15 763,16 322,16 257
66,235 994,249 197,216 688,244 212,263 506
67,9 584,9 495,7 248,7 302,7 440
68,29 430,31 371,26 611,29 952,33 744
69,84 747,85 240,70 351,79 585,84 560
70,26 589,26 458,21 197,24 392,25 734
71,241 465,251 610,231 981,252 288,274 659
72,96 529,102 836,92 517,105 208,118 924
73,34 649,37 666,30 523,35 330,40 738
74,87 174,91 408,89 759,96 747,102 216
75,130 815,136 573,122 785,135 336,141 966
76,−,−,−,−,−
77,−,−,−,−,−
78,5 901,6 418,5 160,6 281,6 848
79,100 780,118 650,112 645,145 349,162 239
80,190 682,187 985,157 308,170 045,178 890
81,85 696,87 844,75 185,88 207,118 659
82,159 018,167 162,140 014,161 788,175 276
83,61 310,65 227,55 541,68 188,75 642
84,55 596,58 718,49 813,60 882,67 518
85,358 974,393 127,362 679,427 315,453 598
86,80 371,82 868,82 424,86 589,88 797
87,175 299,181 982,190 460,197 946,204 313
88,239 381,246 262,225 645,247 862,265 202
89,9 902,9 797,9 213,9 279,9 173
90,249 099,254 465,200 105,229 444,252 638
91,66 723,73 171,57 855,67 480,76 797
92,62 588,62 788,58 210,60 280,62 226
93,103 654,111 716,87 884,104 015,126 179
94,539 012,545 799,524 708,546 089,554 126
95,471 315,475 693,468 114,479 185,484 809
96,117 686,120 442,109 061,111 743,109 560
97,4 247,4 338,4 033,3 841,3 999
98,113 489,118 335,105 341,110 655,116 065
99,389 933,370 861,306 403,312 729,435 454
100,26 569,24 751,21 725,34 807,25 513
101,61 013,60 749,54 684,57 502,61 171
102,31 693,32 471,31 403,31 739,31 671
103,364 343,384 688,333 872,374 033,402 568
104,10 059,10 032,7 598,7 356,7 643
105,51 974,54 854,46 066,52 380,59 605
106,138 874,139 317,114 999,132 249,138 231
107,47 670,46 901,38 773,44 170,44 484
108,374 489,389 448,349 036,382 244,416 579
109,173 678,181 224,158 292,179 825,202 202
110,67 047,72 594,58 097,68 306,78 806
111,136 896,145 344,133 129,149 977,162 109
112,321 055,334 399,287 222,334 088,356 109
113,41 954,40 330,38 155,37 942,36 026
114,−,−,−,−,−
115,8 528,8 900,7 145,8 801,10 099
116,183 645,218 225,208 884,271 191,302 979
117,157 462,158 254,129 348,149 246,157 293
