Ligos,Unnamed: 0,2018,2019,2020,2021,2022
Tam tikros infekcinės ir parazitų sukeliamos ligos,37,55685,58858,50967,59188,79380
Navikai,38,81190,84739,73536,82461,89533
"Kraujo ir kraujodaros organų ligos bei tam tikri sutrikimai, susiję su imuniniais mechanizmais",39,23297,25316,23134,26873,30778
Anemijos,40,18385,19955,18493,20864,23925
"Endokrininės, mitybos ir medžiagų apykaitos ligos",41,157424,181050,176522,214859,234450
Cukrinis diabetas,42,55314,57696,57909,62026,64657
Psichikos ir elgesio sutrikimai,43,84411,87269,86598,90063,94378
Nervų sistemos ligos,44,140026,143209,132094,142834,152122
Epilepsija,45,13618,13308,12476,12413,12555
Akies ir jos priedinių ligos,46,127118,130097,101744,115463,128265
Katarakta,47,29414,32464,26016,30218,34896
Glaukoma,48,31249,31453,29345,29837,30684
Ausies ir speninės ataugos ligos,49,63435,66493,51195,60789,72321
Kraujotakos sistemos ligos,50,337868,348521,335580,353373,365437
Hipertenzinės ligos,51,290809,300712,294719,308222,319746
Išeminė širdies liga,52,85957,88950,82471,84955,86251
Miokardo infarktas,53,6384,6817,6518,6559,6649
Cerebrovaskulinės ligos,54,46637,48854,43833,46294,49715
Kvėpavimo sistemos ligos,55,275139,260714,219387,232474,305836
Pneumonija,56,25179,23831,22368,32918,24783
Lėtinės apatinių kvėpavimo takų ligos,57,47594,47091,42651,46010,48077
Astma,58,16061,16388,15763,16322,16257
Virškinimo sistemos ligos,59,235994,249197,216688,244212,263506
"Skrandžio, dvylikapirštės žarnos ir gastrojejuninės opos",60,9584,9495,7248,7302,7440
Gastritas ir duodenitas,61,29430,31371,26611,29952,33744
Odos ir poodžio ligos,62,84747,85240,70351,79585,84560
Dermatitas ir egzema,63,26589,26458,21197,24392,25734
Jungiamojo audinio ir raumenų bei skeleto ligos,64,241465,251610,231981,252288,274659
Artropatijos,65,96529,102836,92517,105208,118924
Dorsopatijos ir spondilopatijos,66,34649,37666,30523,35330,40738
Dorsalgija,67,87174,91408,89759,96747,102216
Lytinės ir šlapimo sistemos ligos,68,130815,136573,122785,135336,141966
"Nėštumas, gimdymas ir laikotarpis po gimdymo",69,−,−,−,−,−
Tam tikros perinatalinio laikotarpio būklės,70,−,−,−,−,−
"Įgimtos formavimosi ydos, deformacijos ir chromosomų anomalijos",71,5901,6418,5160,6281,6848
"Simptomai, požymiai ir nenormalūs klinikiniai bei laboratoriniai radiniai, neklasifikuojami kitur",72,100780,118650,112645,145349,162239
"Sužalojimai, apsinuodijimai ir tam tikri išorinių poveikių padariniai",73,190682,187985,157308,170045,178890
